City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Avarua,CK,80.53,overcast clouds,-21.2078,-159.775,Paradise Inn
9,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
10,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
12,Mbaiki,CF,72.05,broken clouds,3.8678,17.9892,Motel MBM
14,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
17,Rikitea,PF,77.02,light rain,-23.1203,-134.9692,People ThankYou
19,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Camopi,GF,74.17,overcast clouds,3.1655,-52.3158,La pousada
31,Glenwood Springs,US,79.72,broken clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
38,Nabire,ID,77.32,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
39,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Bera,BD,82.15,clear sky,24.0833,89.6167,Sohel Parvez
42,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
43,Atuona,PF,78.49,few clouds,-9.8,-139.0333,Villa Enata
49,Hilo,US,89.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
55,Avera,US,74.55,broken clouds,33.194,-82.5271,
60,Aitape,PG,80.53,broken clouds,-3.1374,142.3475,
63,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Padang,ID,77.77,light rain,-0.9492,100.3543,Mercure Padang
67,Sao Joao Da Barra,BR,71.35,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
73,Yaan,NG,79.59,light rain,7.3833,8.5667,
74,Sur,OM,84.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
77,Yenagoa,NG,77.83,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
79,Victoria,HK,76.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
88,Namibe,AO,72.7,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
89,Nishihara,JP,75.25,overcast clouds,26.1842,127.7558,Minshuku Agaihama
90,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
92,Minot,US,71.8,overcast clouds,48.2325,-101.2963,Noble Inn
96,Labuhan,ID,78.33,broken clouds,-6.8844,112.2051,DoubleFAG
97,Inhambane,MZ,70.88,clear sky,-23.865,35.3833,Oceano
99,Saint-Leu,RE,72.46,few clouds,-21.15,55.2833,La Caz Oceane
105,Coro,VE,82.35,overcast clouds,11.4045,-69.6734,Federal
113,Puerto Colombia,CO,81.79,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
114,Manggar,ID,80.69,overcast clouds,-2.8833,108.2667,Guest Hotel
115,Bella Vista,US,82.47,clear sky,36.4295,-94.2316,The Inn at Bella Vista
117,Bengkulu,ID,77.45,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
119,Harindanga,IN,81.39,clear sky,22.0383,88.3214,Hasanur Builders
120,Tabou,CI,81.46,overcast clouds,4.423,-7.3528,hotêl doufoulougou
121,Tha Mai,TH,81.07,overcast clouds,12.6214,102.0048,Khowbuysi View Resort
123,Prado,BR,73.98,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
126,Banjarmasin,ID,77.14,scattered clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
131,Tiznit,MA,76.71,broken clouds,29.5833,-9.5,
135,Sarangani,PH,83.14,overcast clouds,5.4033,125.4636,Ballistic Islet
145,Isla Vista,US,77.77,haze,34.4133,-119.861,Best Western Plus South Coast Inn
147,Pontes E Lacerda,BR,71.98,clear sky,-15.2261,-59.3353,Hotel Bressan
153,Paita,PE,71.29,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
154,Lompoc,US,77.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
156,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
158,Pangoa,PE,75.06,broken clouds,-12.1167,-73.0,
159,Sao Jose Da Coroa Grande,BR,77.67,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
160,Wewak,PG,79.83,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
161,Tagudin,PH,80.8,overcast clouds,16.9355,120.4442,Tagudan Kubo Garden Hotel
