City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,2022-05-07 21:59:35,-54.8,-68.3,49.66,46,20,21.85,few clouds
1,Punta Arenas,CL,2022-05-07 21:59:36,-53.15,-70.9167,48.31,71,20,23.02,few clouds
2,Avarua,CK,2022-05-07 21:59:36,-21.2078,-159.775,80.53,74,100,5.3,overcast clouds
3,Hobart,AU,2022-05-07 21:58:07,-42.8794,147.3294,53.46,82,75,12.66,broken clouds
4,Lasa,IT,2022-05-07 21:59:37,46.6166,10.7002,50.36,95,100,2.75,overcast clouds
5,Aljezur,PT,2022-05-07 21:59:38,37.3191,-8.8033,59.4,81,14,6.55,few clouds
6,Albany,US,2022-05-07 21:59:38,42.6001,-73.9662,58.46,33,100,9.62,overcast clouds
7,Carnarvon,AU,2022-05-07 21:56:19,-24.8667,113.6333,62.67,82,75,5.75,broken clouds
8,Te Anau,NZ,2022-05-07 21:59:39,-45.4167,167.7167,57.0,96,100,2.24,overcast clouds
9,Saint-Philippe,RE,2022-05-07 21:53:11,-21.3585,55.7679,72.99,83,33,10.87,light rain
10,Puerto Ayora,EC,2022-05-07 21:50:13,-0.7393,-90.3518,80.56,80,33,9.4,scattered clouds
11,Georgetown,MY,2022-05-07 21:59:40,5.4112,100.3354,84.13,92,20,11.5,few clouds
12,Mbaiki,CF,2022-05-07 21:59:41,3.8678,17.9892,72.05,84,80,1.01,broken clouds
13,Foam Lake,CA,2022-05-07 21:59:41,51.65,-103.5343,51.82,87,99,20.38,overcast clouds
14,Arraial Do Cabo,BR,2022-05-07 21:50:27,-22.9661,-42.0278,73.36,78,40,9.22,scattered clouds
15,Upernavik,GL,2022-05-07 21:55:34,72.7868,-56.1549,14.61,82,11,6.31,few clouds
16,Barrow,US,2022-05-07 21:59:42,71.2906,-156.7887,23.34,89,100,7.27,overcast clouds
17,Rikitea,PF,2022-05-07 21:59:43,-23.1203,-134.9692,77.02,84,53,14.29,light rain
18,Cape Town,ZA,2022-05-07 21:59:44,-33.9258,18.4232,57.9,83,0,11.5,clear sky
19,Vaini,TO,2022-05-07 21:53:06,-21.2,-175.2,77.16,83,75,12.66,broken clouds
20,Mataura,NZ,2022-05-07 21:59:45,-46.1927,168.8643,57.47,99,100,2.35,light rain
21,Kruisfontein,ZA,2022-05-07 21:59:45,-34.0033,24.7314,55.89,79,100,5.17,overcast clouds
22,Hermanus,ZA,2022-05-07 21:54:11,-34.4187,19.2345,54.81,80,54,5.3,broken clouds
23,Ribeira Grande,PT,2022-05-07 21:59:46,38.5167,-28.7,61.83,64,39,2.51,scattered clouds
24,Brae,GB,2022-05-07 21:59:47,60.3964,-1.353,43.05,67,77,2.17,broken clouds
25,Dikson,RU,2022-05-07 21:56:14,73.5069,80.5464,6.08,96,100,9.37,overcast clouds
26,Verkhoturye,RU,2022-05-07 21:59:48,58.8627,60.8054,42.37,81,42,7.38,scattered clouds
27,Kaitangata,NZ,2022-05-07 21:55:44,-46.2817,169.8464,53.76,95,100,3.11,overcast clouds
